heart_rate,motion,GSR,battery_info,time,fix_index
67.1,9.7372,0.006103888,100,2020/8/28 17:47,
68,9.7442,0.006103888,97.9,2020/8/28 17:47,
64.7,9.7618,0.006103888,100,2020/8/28 17:47,
60,9.7524,0.006103888,99.2,2020/8/28 17:47,
56.6,9.7416,0.006103888,100,2020/8/28 17:47,
55.8,9.7388,0.006103888,99.7,2020/8/28 17:47,
57.4,9.7405,0.006103888,100,2020/8/28 17:47,
60,9.7209,0.006103888,99.9,2020/8/28 17:47,
62.1,9.7434,0.006103888,100,2020/8/28 17:47,
62.6,9.7371,0.006103888,100,2020/8/28 17:47,
61.7,9.7411,0.006103888,100,2020/8/28 17:47,
60,9.7294,0.006103888,100,2020/8/28 17:47,
58.6,9.7274,0.006103888,100,2020/8/28 17:47,
58.2,12.8054,0.006103888,100,2020/8/28 17:47,
58.9,12.9847,0.006103888,100,2020/8/28 17:48,
60,9.9658,0.006103888,100,2020/8/28 17:48,
61,10.0386,0.38235914,100,2020/8/28 17:48,
61.3,10.1049,4.565207968,100,2020/8/28 17:48,
60.9,10.2779,4.060095345,100,2020/8/28 17:48,
60,10.1263,3.69071797,100,2020/8/28 17:48,
59.2,9.3918,3.382959611,100,2020/8/28 17:48,
58.9,9.9759,3.092153341,100,2020/8/28 17:48,
59.3,10.1132,2.900232994,100,2020/8/28 17:48,
60,10.2061,2.765106973,100,2020/8/28 17:48,
60.8,9.8107,2.619858707,100,2020/8/28 17:48,
61.1,9.9407,2.566735113,100,2020/8/28 17:48,
60.8,10.0724,2.504382827,100,2020/8/28 17:48,
60,10.0853,2.424830404,100,2020/8/28 17:48,
59.1,10.0779,2.400960523,100,2020/8/28 17:48,
58.5,9.9898,2.375861384,100,2020/8/28 17:48,
58.7,9.9931,2.345490826,100,2020/8/28 17:48,
60,9.8369,2.328831053,100,2020/8/28 17:48,
62,9.9858,2.30149646,100,2020/8/28 17:48,
64.1,9.9955,2.273761858,100,2020/8/28 17:48,
65.5,10.1869,2.259376412,100,2020/8/28 17:48,
65.7,9.9773,2.23914017,100,2020/8/28 17:48,
64.2,10.0661,2.201673272,100,2020/8/28 17:48,
61.3,10.0039,2.1898616,100,2020/8/28 17:48,
57.6,10.0553,2.192021043,100,2020/8/28 17:48,
53.7,9.9536,2.312673451,100,2020/8/28 17:48,
50,10.0008,2.318303283,100,2020/8/28 17:48,
