label,Start_time,End_time
悲伤,17:25:53',17:26:27'
悲伤,17:28:33',17:29:41'
悲伤,17:30:54',17:31:55'
受挫/苦恼/懊恼,17:33:15',17:34:36'
受挫/苦恼/懊恼,17:35:49',17:36:53'
受挫/苦恼/懊恼,17:38:00',17:39:13'
愤怒,17:40:14',17:41:01'
愤怒,17:41:56',17:43:12'
愤怒,17:44:05',17:44:42'
中性,17:45:33',17:46:18'
中性,17:47:10',17:47:49'
中性,17:48:42',17:49:17'
快乐/兴奋/兴趣/着迷,17:50:12',17:50:57'
快乐/兴奋/兴趣/着迷,17:51:54',17:52:55'
快乐/兴奋/兴趣/着迷,17:53:50',17:55:12'
共情/浪漫/怀旧,17:56:08',17:57:25'
共情/浪漫/怀旧,17:58:16',17:59:39'
共情/浪漫/怀旧,18:00:30',18:01:33'
,,
