heart_rate,GSR,time
71.8,0.17695983,2021/12/6 17:25
70.4,0.17695983,2021/12/6 17:25
68.7,0.17695983,2021/12/6 17:25
67.4,0.177006827,2021/12/6 17:25
66.9,0.17758835,2021/12/6 17:25
67.3,0.17758835,2021/12/6 17:25
68.3,0.17758835,2021/12/6 17:25
69.4,0.178030977,2021/12/6 17:26
70.2,0.178157848,2021/12/6 17:26
70.4,0.178157848,2021/12/6 17:26
69.9,0.178571429,2021/12/6 17:26
69.4,0.178699071,2021/12/6 17:26
69.5,0.178794922,2021/12/6 17:26
70.4,0.17916332,2021/12/6 17:26
71.8,0.178794922,2021/12/6 17:26
73.2,0.178794922,2021/12/6 17:26
73.7,0.17921147,2021/12/6 17:26
72.7,0.179307872,2021/12/6 17:26
70,0.179307872,2021/12/6 17:26
66.4,0.179404377,2021/12/6 17:26
62.9,0.179856115,2021/12/6 17:26
60.7,0.179856115,2021/12/6 17:26
60.4,0.179953212,2021/12/6 17:26
62,0.179953212,2021/12/6 17:26
64.9,0.180505415,2021/12/6 17:26
68,0.180554315,2021/12/6 17:26
70,0.181061018,2021/12/6 17:26
70.6,0.180554315,2021/12/6 17:26
69.8,0.181061018,2021/12/6 17:26
68,0.18115942,2021/12/6 17:26
66.1,0.18115942,2021/12/6 17:26
64.7,0.181686047,2021/12/6 17:26
64.3,0.181686047,2021/12/6 17:26
64.7,0.181686047,2021/12/6 17:26
65.6,0.18178513,2021/12/6 17:26
66.7,0.182315406,2021/12/6 17:26
67.5,0.182215743,2021/12/6 17:26
68.2,0.182215743,2021/12/6 17:26
68.5,0.182781941,2021/12/6 17:26
68.9,0.182315406,2021/12/6 17:26
69.5,0.182548673,2021/12/6 17:26
70.4,0.182882224,2021/12/6 17:26
71.3,0.182982617,2021/12/6 17:26
72.2,0.183418929,2021/12/6 17:26
72.8,0.183334863,2021/12/6 17:26
72.7,0.183519912,2021/12/6 17:26
71.6,0.183519912,2021/12/6 17:26
69.5,0.183857327,2021/12/6 17:26
66.8,0.184162063,2021/12/6 17:26
64,0.184060372,2021/12/6 17:26
61.8,0.184060372,2021/12/6 17:26
60.9,0.184552935,2021/12/6 17:26
61.7,0.184604024,2021/12/6 17:26
64,0.184706317,2021/12/6 17:26
67.4,0.185150898,2021/12/6 17:26
70.9,0.184706317,2021/12/6 17:26
74,0.185150898,2021/12/6 17:26
76.1,0.185356812,2021/12/6 17:26
76.8,0.185253798,2021/12/6 17:26
76.8,0.185253798,2021/12/6 17:26
76.4,0.185821811,2021/12/6 17:26
76.1,0.185873606,2021/12/6 17:26
75.7,0.185873606,2021/12/6 17:26
75.2,0.185873606,2021/12/6 17:26
74.3,0.186428039,2021/12/6 17:26
72.7,0.186428039,2021/12/6 17:26
70.3,0.186428039,2021/12/6 17:26
67.8,0.186532363,2021/12/6 17:27
65.9,0.18660214,2021/12/6 17:27
65.1,0.187090739,2021/12/6 17:27
65.5,0.187125755,2021/12/6 17:27
67.1,0.187090739,2021/12/6 17:27
69.1,0.187511719,2021/12/6 17:27
70.4,0.187617261,2021/12/6 17:27
69.9,0.187617261,2021/12/6 17:27
67.4,0.187617261,2021/12/6 17:27
63.3,0.188199883,2021/12/6 17:27
58.3,0.187617261,2021/12/6 17:27
53.7,0.188253012,2021/12/6 17:27
